ID,CNO,START,END,,,GSYM,GNAME,,,,GPATTERN
10:071300000:074600000:tsg151,10,71300000,74600000,10q22.1,219699,UNC5B,UNC5H2|p53RDL1,HGNC:12568|MIM:607870|Ensembl:ENSG00000107731|HPRD:08487|Vega:OTTHUMG00000018422,unc-5 homolog B (C. elegans),protein-coding,netrin receptor UNC5B|p53-regulated receptor for death and life protein 1|protein unc-5 homolog 2|protein unc-5 homolog B|transmembrane receptor Unc5H2|unc-5 homolog 2
07:097900000:104400000:tsg152,7,97900000,104400000,7q22.1,222235,FBXL13,Fbl13,HGNC:21658|MIM:609080|Ensembl:ENSG00000161040|HPRD:12364|Vega:OTTHUMG00000157224,F-box and leucine-rich repeat protein 13,protein-coding,F-box/LRR-repeat protein 13
07:097900000:104400000:tsg153,7,97900000,104400000,7q22.1,222236,NAPEPLD,FMP30|NAPE-PLD,HGNC:21683|MIM:612334|Ensembl:ENSG00000161048|HPRD:14809|Vega:OTTHUMG00000157204,N-acyl phosphatidylethanolamine phospholipase D,protein-coding,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D|NAPE-hydrolyzing phospholipase D
15:086900000:092100000:tsg154,15,86900000,92100000,15q26.1,2242,FES,FPS,HGNC:3657|MIM:190030|Ensembl:ENSG00000182511|HPRD:01814|Vega:OTTHUMG00000044456,feline sarcoma oncogene,protein-coding,"Oncogene FES, feline sarcoma virus|feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog|feline sarcoma/Fujinami avian sarcoma oncogene homolog|p93c-fes|proto-oncogene c-Fes|proto-oncogene c-Fps|proto-oncogene tyrosine-protein kinase Fes/Fps|tyrosine-protein kinase Fes/Fps"
01:222100000:228800000:tsg155,1,222100000,228800000,1q42.1,2271,FH,HLRCC|LRCC|MCL|MCUL1,HGNC:3700|MIM:136850|Ensembl:ENSG00000091483|HPRD:00652|Vega:OTTHUMG00000039597,fumarate hydratase,protein-coding,"fumarase|fumarate hydratase, mitochondrial"
03:058500000:063700000:tsg156,3,58500000,63700000,3p14.2,2272,FHIT,AP3Aase|FRA3B,HGNC:3701|MIM:601153|Ensembl:ENSG00000189283|HPRD:03096|Vega:OTTHUMG00000158591,fragile histidine triad gene,protein-coding,"AP3A hydrolase|bis(5'-adenosyl)-triphosphatase|diadenosine 5',5'''-P1,P3-triphosphate hydrolase|dinucleosidetriphosphatase|fragile histidine triad protein|tumor suppressor protein"
19:037100000:063811651:tsg157,19,37100000,63811651,19q13,22933,SIRT2,SIR2|SIR2L|SIR2L2,HGNC:10886|MIM:604480|Ensembl:ENSG00000068903|HPRD:10377|Vega:OTTHUMG00000150480,sirtuin 2,protein-coding,NAD-dependent deacetylase sirtuin-2|SIR2-like protein 2|silent information regulator 2|sir2-related protein type 2|sirtuin type 2
10:042100000:053300000:tsg158,10,42100000,53300000,10q11.2,22943,DKK1,DKK-1|SK,HGNC:2891|MIM:605189|Ensembl:ENSG00000107984|HPRD:05544|Vega:OTTHUMG00000018247,dickkopf 1 homolog (Xenopus laevis),protein-coding,dickkopf related protein-1|dickkopf-1 like|dickkopf-related protein 1|hDkk-1
06:000000000:007000000:tsg159,6,0,7000000,6p25,2296,FOXC1,ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3,HGNC:3800|MIM:601090|Ensembl:ENSG00000054598|HPRD:03054|Vega:OTTHUMG00000016182,forkhead box C1,protein-coding,"forkhead box protein C1|forkhead, drosophila, homolog-like 7|forkhead-related activator 3|forkhead-related protein FKHL7|forkhead-related transcription factor 3|forkhead/winged helix-like transcription factor 7|myeloid factor-delta"
16:069400000:069800000:tsg160,16,69400000,69800000,16q22.2,23035,PHLPP2,PHLPPL,HGNC:29149|MIM:611066|Ensembl:ENSG00000040199|HPRD:11118,PH domain and leucine rich repeat protein phosphatase 2,protein-coding,PH domain leucine-rich repeat-containing protein phosphatase 2
13:027800000:031100000:tsg161,13,27800000,31100000,13q12.3,23047,PDS5B,APRIN|AS3|CG008,HGNC:20418|MIM:605333|Ensembl:ENSG00000083642|HPRD:05624|Vega:OTTHUMG00000016704,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)",protein-coding,androgen induced inhibitor of proliferation|androgen-induced proliferation inhibitor|androgen-induced prostate proliferative shutoff-associated protein AS3|androgen-induced shutoff 3|sister chromatid cohesion protein PDS5 homolog B
13:039500000:046200000:tsg162,13,39500000,46200000,13q14.1,2308,FOXO1,FKH1|FKHR|FOXO1A,HGNC:3819|MIM:136533|Ensembl:ENSG00000150907|HPRD:00645|Vega:OTTHUMG00000016775,forkhead box O1,protein-coding,"forkhead box protein O1|forkhead box protein O1A|forkhead, Drosophila, homolog of, in rhabdomyosarcoma"
08:023400000:027400000:tsg163,8,23400000,27400000,8p21.2,23087,TRIM35,HLS5|MAIR,HGNC:16285|Ensembl:ENSG00000104228|HPRD:15553|Vega:OTTHUMG00000102047,tripartite motif containing 35,protein-coding,hemopoietic lineage switch protein 5|tripartite motif-containing 35|tripartite motif-containing protein 35
06:104800000:113900000:tsg164,6,104800000,113900000,6q21,2309,FOXO3,AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A,HGNC:3821|MIM:602681|Ensembl:ENSG00000118689|HPRD:04061|Vega:OTTHUMG00000015327,forkhead box O3,protein-coding,"forkhead box O3A|forkhead box protein O3|forkhead homolog (rhabdomyosarcoma) like 1|forkhead in rhabdomyosarcoma-like 1|forkhead, Drosophila, homolog of, in rhabdomyosarcoma-like 1"
01:007100000:016100000:tsg165,1,7100000,16100000,1p36.2,23095,KIF1B,CMT2|CMT2A|CMT2A1|HMSNII|KLP|NBLST1,HGNC:16636|MIM:605995|Ensembl:ENSG00000054523|HPRD:05818|Vega:OTTHUMG00000001817,kinesin family member 1B,protein-coding,kinesin superfamily protein KIF1B|kinesin-like protein KIF1B
07:142800000:147500000:tsg166,7,142800000,147500000,7q35,231,AKR1B1,ADR|ALDR1|ALR2|AR,HGNC:381|MIM:103880|Ensembl:ENSG00000085662|HPRD:00071|Vega:OTTHUMG00000155322,"aldo-keto reductase family 1, member B1 (aldose reductase)",protein-coding,Lii5-2 CTCL tumor antigen|aldehyde reductase 1|aldo-keto reductase family 1 member B1|aldose reductase|low Km aldose reductase
18:000000000:002900000:tsg167,18,0,2900000,18p11.32,23136,EPB41L3,4.1B|DAL-1|DAL1,HGNC:3380|MIM:605331|Ensembl:ENSG00000082397|HPRD:05622|Vega:OTTHUMG00000131562,erythrocyte membrane protein band 4.1-like 3,protein-coding,band 4.1-like protein 3|differentially expressed in adenocarcinoma of the lung protein 1
09:000000000:002200000:tsg168,9,0,2200000,9p24.3,23189,KANK1,ANKRD15|CPSQ2|KANK,HGNC:19309|MIM:607704|Ensembl:ENSG00000107104|HPRD:09651|Vega:OTTHUMG00000019434,KN motif and ankyrin repeat domains 1,protein-coding,KN motif and ankyrin repeat domain-containing protein 1|ankyrin repeat domain 15|ankyrin repeat domain-containing protein 15|kidney ankyrin repeat-containing protein
09:093000000:095600000:tsg169,9,93000000,95600000,9q22.31,23196,FAM120A,C9orf10|DNAPTP1|DNAPTP5|OSSA,HGNC:13247|MIM:612265|Ensembl:ENSG00000048828|HPRD:12928|Vega:OTTHUMG00000020252,family with sequence similarity 120A,protein-coding,DNA polymerase-transactivated protein 1|DNA polymerase-transactivated protein 5|constitutive coactivator of PPAR-gamma-like protein 1|oxidative stress-associated Src activator
08:019100000:023400000:tsg170,8,19100000,23400000,8p21.3,23221,RHOBTB2,DBC2,HGNC:18756|MIM:607352|Ensembl:ENSG00000008853|HPRD:06300|Vega:OTTHUMG00000097827,Rho-related BTB domain containing 2,protein-coding,deleted in breast cancer 2 gene protein|p83|rho-related BTB domain-containing protein 2
18:057100000:059800000:tsg171,18,57100000,59800000,18q21.33,23239,PHLPP1,PHLPP|PLEKHE1|SCOP,HGNC:20610|MIM:609396|Ensembl:ENSG00000081913|HPRD:15145|Vega:OTTHUMG00000150629,PH domain and leucine rich repeat protein phosphatase 1,protein-coding,"PH domain leucine-rich repeat-containing protein phosphatase 1|PH domain-containing family E member 1|SCN circadian oscillatory protein|pleckstrin homology domain containing, family E (with leucine rich repeats) member 1|suprachiasmatic nucleus circadian oscillatory protein"
01:005300000:009200000:tsg172,1,5300000,9200000,1p36.31-p36.23,23261,CAMTA1,-,HGNC:18806|MIM:611501|Ensembl:ENSG00000171735|HPRD:16681|Vega:OTTHUMG00000001212,calmodulin binding transcription activator 1,protein-coding,calmodulin-binding transcription activator 1
06:145700000:149100000:tsg173,6,145700000,149100000,6q24.3,23328,SASH1,RP3-323M4.1|SH3D6A|dJ323M4|dJ323M4.1,HGNC:19182|MIM:607955|Ensembl:ENSG00000111961|HPRD:06408|Vega:OTTHUMG00000015773,SAM and SH3 domain containing 1,protein-coding,2500002E12Rik|SAM and SH3 domain-containing protein 1|proline-glutamate repeat-containing protein
15:096300000:100338915:tsg174,15,96300000,100338915,15q26.3,23336,SYNM,DMN|SYN,HGNC:24466|MIM:606087|Ensembl:ENSG00000182253|HPRD:07305|Vega:OTTHUMG00000171887,"synemin, intermediate filament protein",protein-coding,desmuslin|synemin|synemin alpha|synemin beta
11:115400000:120700000:tsg175,11,115400000,120700000,11q23.3,23365,ARHGEF12,LARG|PRO2792,HGNC:14193|MIM:604763|Ensembl:ENSG00000196914|HPRD:09207|Vega:OTTHUMG00000166143,Rho guanine nucleotide exchange factor (GEF) 12,protein-coding,leukemia-associated RhoGEF|leukemia-associated rho guanine nucleotide exchange factor|rho guanine nucleotide exchange factor 12
06:092100000:098700000:tsg176,6,92100000,98700000,6q16.1,23376,UFL1,KIAA0776|Maxer|NLBP|RCAD|RP3-393D12.1,HGNC:23039|MIM:613372|Ensembl:ENSG00000014123|HPRD:11109|Vega:OTTHUMG00000015238,UFM1-specific ligase 1,protein-coding,E3 UFM1-protein ligase 1|LZAP-binding protein|Regulator of CDK5RAP3 and DDRGK1|novel LZAP-binding protein
12:074100000:078700000:tsg177,12,74100000,78700000,12q21.2,23390,ZDHHC17,HIP14|HIP3|HYPH,HGNC:18412|MIM:607799|Ensembl:ENSG00000186908|HPRD:09697|Vega:OTTHUMG00000169917,"zinc finger, DHHC-type containing 17",protein-coding,"DHHC-17|HIP-14|HIP-3|Huntingtin interacting protein H|huntingtin interacting protein 14|huntingtin interacting protein 3|huntingtin yeast partner H|huntingtin-interacting protein 14|huntingtin-interacting protein 3|huntingtin-interacting protein H|palmitoyltransferase ZDHHC17|putative MAPK-activating protein PM11|putative NF-kappa-B-activating protein 205|zinc finger DHHC domain-containing protein 17|zinc finger, DHHC domain containing 17"
11:000000000:002800000:tsg178,11,0,2800000,11p15.5,23410,SIRT3,SIR2L3,HGNC:14931|MIM:604481|Ensembl:ENSG00000142082|HPRD:06836|Vega:OTTHUMG00000119074,sirtuin 3,protein-coding,"NAD-dependent deacetylase sirtuin-3, mitochondrial|SIR2-like protein 3|mitochondrial nicotinamide adenine dinucleotide-dependent deacetylase|silent mating type information regulation 2, S.cerevisiae, homolog 3|sir2-like 3|sirtuin type 3"
08:140000000:146274826:tsg179,8,140000000,146274826,8q24.3,23513,SCRIB,CRIB1|SCRB1|SCRIB1|Vartul,HGNC:30377|MIM:607733|Ensembl:ENSG00000180900|HPRD:06984|Vega:OTTHUMG00000165154,scribbled homolog (Drosophila),protein-coding,protein scribble homolog
22:027900000:030500000:tsg180,22,27900000,30500000,22q12.2,23541,SEC14L2,C22orf6|SPF|TAP|TAP1,HGNC:10699|MIM:607558|Ensembl:ENSG00000100003|HPRD:06344|Vega:OTTHUMG00000151024,SEC14-like 2 (S. cerevisiae),protein-coding,SEC14-like protein 2|alpha-tocopherol-associated protein|squalene transfer protein|supernatant protein factor|tocopherol-associated protein
10:000000000:012300000:tsg181,10,0,12300000,10p15-p14,23560,GTPBP4,CRFG|NGB|NOG1,HGNC:21535|Ensembl:ENSG00000107937|HPRD:09976|Vega:OTTHUMG00000017538,GTP binding protein 4,protein-coding,G protein-binding protein CRFG|GTP-binding protein NGB|chronic renal failure gene protein|nucleolar GTP-binding protein 1
01:184000000:197500000:tsg182,1,184000000,197500000,1q31,23612,PHLDA3,TIH1,HGNC:8934|MIM:607054|Ensembl:ENSG00000174307|HPRD:09519|Vega:OTTHUMG00000035767,"pleckstrin homology-like domain, family A, member 3",protein-coding,"TDAG51/Ipl homolog 1|pleckstrin homology-like domain family A member 3|pleckstrin homology-like domain, family A, member 2"
02:191600000:197100000:tsg183,2,191600000,197100000,2q32.3,23671,TMEFF2,CT120.2|HPP1|TENB2|TPEF|TR,HGNC:11867|MIM:605734|Ensembl:ENSG00000144339|HPRD:05760|Vega:OTTHUMG00000132723,transmembrane protein with EGF-like and two follistatin-like domains 2,protein-coding,"TR-2|cancer/testis antigen family 120, member 2|hyperplastic polyposis protein 1|tomoregulin|tomoregulin-2|transmembrane protein TENB2"
11:112800000:115400000:tsg184,11,112800000,115400000,11q23.2,23705,CADM1,BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1,HGNC:5951|MIM:605686|Ensembl:ENSG00000182985|HPRD:05746|Vega:OTTHUMG00000168202,cell adhesion molecule 1,protein-coding,"TSLC-1|TSLC1/Nectin-like 2/IGSF4|immunoglobulin superfamily member 4|immunoglobulin superfamily, member 4|immunoglobulin superfamily, member 4D variant 2|nectin-like 2|nectin-like protein 2|spermatogenic immunoglobulin superfamily|synaptic cell adhesion molecule|tumor suppressor in lung cancer 1"
03:043600000:051400000:tsg185,3,43600000,51400000,3p21.3,24142,NAT6,FUS-2|FUS2,HGNC:30252|MIM:607073|Ensembl:ENSG00000243477|HPRD:06148|Vega:OTTHUMG00000156939,N-acetyltransferase 6 (GCN5-related),protein-coding,N-acetyltransferase 6|protein fusion-2
06:104800000:130400000:tsg186,6,104800000,130400000,6q21-q22.3,2444,FRK,GTK|PTK5|RAK,HGNC:3955|MIM:606573|Ensembl:ENSG00000111816|HPRD:05954|Vega:OTTHUMG00000015424,fyn-related kinase,protein-coding,PTK5 protein tyrosine kinase 5|nuclear tyrosine protein kinase RAK|protein-tyrosine kinase 5|tyrosine-protein kinase FRK
06:145700000:149100000:tsg187,6,145700000,149100000,6q24.3,257218,SHPRH,bA545I5.2,HGNC:19336|MIM:608048|Ensembl:ENSG00000146414|HPRD:10476|Vega:OTTHUMG00000015750,SNF2 histone linker PHD RING helicase,protein-coding,"2610103K11Rik|E3 ubiquitin-protein ligase SHPRH|SNF2, histone-linker, PHD and RING finger domain-containing helicase"
11:115400000:120700000:tsg188,11,115400000,120700000,11q23.3,25833,POU2F3,Epoc-1|OCT-11|OCT11|OTF-11|PLA-1|PLA1|Skn-1a,HGNC:19864|MIM:607394|Ensembl:ENSG00000137709|HPRD:09582|Vega:OTTHUMG00000166140,POU class 2 homeobox 3,protein-coding,"POU domain transcription factor OCT11a|POU domain, class 2, transcription factor 3|octamer-binding protein 11|octamer-binding transcription factor 11|transcription factor PLA-1|transcription factor Skn-1"
11:063100000:076700000:tsg189,11,63100000,76700000,11q13-q13.2,25855,BRMS1,-,HGNC:17262|MIM:606259|Ensembl:ENSG00000174744|HPRD:05879|Vega:OTTHUMG00000167081,breast cancer metastasis suppressor 1,protein-coding,breast cancer metastasis-suppressor 1
18:071300000:076117153:tsg190,18,71300000,76117153,18q23,2587,GALR1,GALNR|GALNR1,HGNC:4132|MIM:600377|Ensembl:ENSG00000166573|HPRD:02657|Vega:OTTHUMG00000132875,galanin receptor 1,protein-coding,GAL1-R|GALR-1|galanin receptor type 1
01:005300000:007100000:tsg191,1,5300000,7100000,1p36.31,26038,CHD5,-,HGNC:16816|MIM:610771|Ensembl:ENSG00000116254|HPRD:10828|Vega:OTTHUMG00000000952,chromodomain helicase DNA binding protein 5,protein-coding,ATP-dependent helicase CHD5|CHD-5|chromodomain-helicase-DNA-binding protein 5
07:142800000:147500000:tsg192,7,142800000,147500000,7q35,26047,CNTNAP2,AUTS15|CASPR2|CDFE|NRXN4|PTHSL1,HGNC:13830|MIM:604569|Ensembl:ENSG00000174469|HPRD:05197|Vega:OTTHUMG00000152743,contactin associated protein-like 2,protein-coding,cell recognition molecule Caspr2|contactin-associated protein 2|contactin-associated protein-like 2|homolog of Drosophila neurexin IV
07:114400000:117200000:tsg193,7,114400000,117200000,7q31.2,26136,TES,TESS|TESS-2,HGNC:14620|MIM:606085|Ensembl:ENSG00000135269|HPRD:05833|Vega:OTTHUMG00000023092,testis derived transcript (3 LIM domains),protein-coding,testin
09:080300000:101600000:tsg194,9,80300000,101600000,9q21.3-q22,2619,GAS1,-,HGNC:4165|MIM:139185|Ensembl:ENSG00000180447|HPRD:00747|Vega:OTTHUMG00000020141,growth arrest-specific 1,protein-coding,GAS-1|Growth arrest-specific gene-1|growth arrest-specific protein 1
11:036400000:043400000:tsg195,11,36400000,43400000,11p12,26298,EHF,ESE3|ESE3B|ESEJ,HGNC:3246|MIM:605439|Ensembl:ENSG00000135373|HPRD:16105|Vega:OTTHUMG00000166454,ets homologous factor,protein-coding,ESE3 transcription factor|ETS domain-containing transcription factor|ETS homologous factor|epithelium-specific Ets transcription factor 3|hEHF
09:122000000:125800000:tsg196,9,122000000,125800000,9q33.2,26468,LHX6,LHX6.1,HGNC:21735|MIM:608215|Ensembl:ENSG00000106852|HPRD:10498|Vega:OTTHUMG00000020601,LIM homeobox 6,protein-coding,LIM homeodomain protein 6.1|LIM/homeobox protein Lhx6|LIM/homeobox protein Lhx6.1
13:048900000:052200000:tsg197,13,48900000,52200000,13q14.3,26512,INTS6,DBI-1|DDX26|DDX26A|DICE1|HDB|INT6|Notchl2,HGNC:14879|MIM:604331|Ensembl:ENSG00000102786|HPRD:05063|Vega:OTTHUMG00000016945,integrator complex subunit 6,protein-coding,DEAD box protein|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26|RNA helicase HDB|protein deleted in cancer 1
13:016000000:031100000:tsg198,13,16000000,31100000,13q11-q12,26524,LATS2,KPM,HGNC:6515|MIM:604861|Ensembl:ENSG00000150457|HPRD:07277|Vega:OTTHUMG00000016531,"LATS, large tumor suppressor, homolog 2 (Drosophila)",protein-coding,"LATS (large tumor suppressor, Drosophila) homolog 2|kinase phosphorylated during mitosis protein|large tumor suppressor homolog 2|serine/threonine kinase KPM|serine/threonine-protein kinase LATS2|serine/threonine-protein kinase kpm|warts-like kinase"
06:084700000:087500000:tsg199,6,84700000,87500000,6q14.3,26799,SNORD50A,RNU50|U50,HGNC:10200|MIM:613117,"small nucleolar RNA, C/D box 50A",snoRNA,-
19:000000000:006900000:tsg200,19,0,6900000,19p13.3,268,AMH,MIF|MIS,HGNC:464|MIM:600957|Ensembl:ENSG00000104899|HPRD:02979,anti-Mullerian hormone,protein-coding,Mullerian inhibiting factor|Mullerian inhibiting substance|anti-Muellerian hormone|muellerian-inhibiting factor|muellerian-inhibiting substance
07:097900000:126900000:tsg201,7,97900000,126900000,7q22-q31,26959,HBP1,-,HGNC:23200|Ensembl:ENSG00000105856|HPRD:13634|Vega:OTTHUMG00000157642,HMG-box transcription factor 1,protein-coding,HMG box transcription factor 1|HMG box-containing protein 1|high mobility group box transcription factor 1
06:104800000:135200000:tsg202,6,104800000,135200000,6q21-q23.2,2697,GJA1,AVSD3|CX43|DFNB38|GJAL|HSS|ODDD,HGNC:4274|MIM:121014|Ensembl:ENSG00000152661|HPRD:00414|Vega:OTTHUMG00000015479,"gap junction protein, alpha 1, 43kDa",protein-coding,connexin 43|connexin-43|gap junction 43 kDa heart protein|gap junction alpha-1 protein
13:016000000:031100000:tsg203,13,16000000,31100000,13q11-q12,2706,GJB2,CX26|DFNA3|DFNA3A|DFNB1|DFNB1A|HID|KID|NSRD1|PPK,HGNC:4284|MIM:121011|Ensembl:ENSG00000165474|HPRD:00413|Vega:OTTHUMG00000016513,"gap junction protein, beta 2, 26kDa",protein-coding,connexin 26|gap junction beta-2 protein
03:063700000:071800000:tsg204,3,63700000,71800000,3p14.1,27086,FOXP1,12CC4|QRF1|hFKH1B,HGNC:3823|MIM:605515|Ensembl:ENSG00000114861|HPRD:18518|Vega:OTTHUMG00000158803,forkhead box P1,protein-coding,fork head-related protein like B|forkhead box protein P1|glutamine-rich factor 1
11:012600000:016100000:tsg205,11,12600000,16100000,11p15.2,27122,DKK3,REIC|RIG,HGNC:2893|MIM:605416|Ensembl:ENSG00000050165|HPRD:05659|Vega:OTTHUMG00000165709,dickkopf 3 homolog (Xenopus laevis),protein-coding,RIG-like 5-6|RIG-like 7-1|dickkopf homolog 3|dickkopf-3|dickkopf-related protein 3|dkk-3|hDkk-3|regulated in glioma
16:087200000:088827254:tsg206,16,87200000,88827254,16q24.3,27132,CPNE7,-,HGNC:2320|MIM:605689|Ensembl:ENSG00000178773|HPRD:05749|Vega:OTTHUMG00000138051,copine VII,protein-coding,copine 7|copine-7
01:142400000:153300000:tsg207,1,142400000,153300000,1q21,27173,SLC39A1,ZIP1|ZIRTL,HGNC:12876|MIM:604740|Ensembl:ENSG00000143570|HPRD:11984|Vega:OTTHUMG00000037158,"solute carrier family 39 (zinc transporter), member 1",protein-coding,"ZIP-1|hZIP1|solute carrier family 39 (zinc transporter), member 3|solute carrier family 39 member 1|zinc transporter ZIP1|zrt- and Irt-like protein 1"
X:129800000:130300000:tsg208,X,129800000,130300000,Xq26.1,2719,GPC3,DGSX|GTR2-2|MXR7|OCI-5|SDYS|SGB|SGBS|SGBS1,HGNC:4451|MIM:300037|Ensembl:ENSG00000147257|HPRD:02074|Vega:OTTHUMG00000022448,glypican 3,protein-coding,glypican proteoglycan 3|glypican-3|heparan sulphate proteoglycan|intestinal protein OCI-5|secreted glypican-3
06:045200000:057200000:tsg209,6,45200000,57200000,6p12,27232,GNMT,-,HGNC:4415|MIM:606628|Ensembl:ENSG00000124713|HPRD:05970|Vega:OTTHUMG00000014712,glycine N-methyltransferase,protein-coding,-
10:098000000:105700000:tsg210,10,98000000,105700000,10q24,27250,PDCD4,H731,HGNC:8763|MIM:608610|Ensembl:ENSG00000150593|HPRD:10549|Vega:OTTHUMG00000019048,programmed cell death 4 (neoplastic transformation inhibitor),protein-coding,neoplastic transformation inhibitor protein|nuclear antigen H731|programmed cell death protein 4|protein 197/15a
02:070500000:072600000:tsg211,2,70500000,72600000,2p13.3,27302,BMP10,-,HGNC:20869|MIM:608748|Ensembl:ENSG00000163217|HPRD:09788|Vega:OTTHUMG00000129573,bone morphogenetic protein 10,protein-coding,BMP-10
X:133500000:137800000:tsg212,X,133500000,137800000,Xq26.3,27316,RBMX,HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G,HGNC:9910|MIM:300199|Ensembl:ENSG00000147274|HPRD:02186|Vega:OTTHUMG00000022517,"RNA binding motif protein, X-linked",protein-coding,"RNA binding motif protein, X chromosome|RNA-binding motif protein, X chromosome|glycoprotein p43|heterogeneous nuclear ribonucleoprotein G|hnRNP G"
X:076000000:098200000:tsg213,X,76000000,98200000,Xq21,27330,RPS6KA6,PP90RSK4|RSK4,HGNC:10435|MIM:300303|Ensembl:ENSG00000072133|HPRD:02250|Vega:OTTHUMG00000021923,"ribosomal protein S6 kinase, 90kDa, polypeptide 6",protein-coding,90 kDa ribosomal protein S6 kinase 6|RSK-4|S6K-alpha 6|S6K-alpha-6|p90-RSK 6|p90RSK6|ribosomal S6 kinase 4|ribosomal protein S6 kinase alpha-6
02:113800000:129600000:tsg214,2,113800000,129600000,2q14,274,BIN1,AMPH2|AMPHL|SH3P9,HGNC:1052|MIM:601248|Ensembl:ENSG00000136717|HPRD:03150|Vega:OTTHUMG00000131465,bridging integrator 1,protein-coding,amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1|myc box-dependent-interacting protein 1
02:075400000:083700000:tsg215,2,75400000,83700000,2p12,27429,HTRA2,OMI|PARK13|PRSS25,HGNC:14348|MIM:606441|Ensembl:ENSG00000115317|HPRD:05919|Vega:OTTHUMG00000129957,HtrA serine peptidase 2,protein-coding,"HtrA-like serine protease|Omi stress-regulated endoprotease|high temperature requirement protein A2|protease, serine, 25|serine protease 25|serine protease HTRA2, mitochondrial|serine proteinase OMI"
01:023800000:027800000:tsg216,1,23800000,27800000,1p36.11,2810,SFN,YWHAS,HGNC:10773|MIM:601290|Ensembl:ENSG00000175793|HPRD:03185|Vega:OTTHUMG00000004093,stratifin,protein-coding,14-3-3 protein sigma|14-3-3 sigma|epithelial cell marker protein 1
13:046200000:048900000:tsg217,13,46200000,48900000,13q14.2,283518,KCNRG,DLTET,HGNC:18893|MIM:607947|Ensembl:ENSG00000198553|HPRD:06404|Vega:OTTHUMG00000140140,potassium channel regulator,protein-coding,potassium channel regulatory protein|putative potassium channel regulatory protein
01:222700000:225100000:tsg218,1,222700000,225100000,1q42.12,286826,LIN9,BARA|BARPsv|Lin-9|TGS|TGS1,HGNC:30830|MIM:609375|Ensembl:ENSG00000183814|HPRD:13990|Vega:OTTHUMG00000037557,lin-9 homolog (C. elegans),protein-coding,TUDOR gene similar protein|beta subunit-associated regulator of apoptosis|hLin-9|huLin-9|pRB-associated protein|protein lin-9 homolog|rb related pathway actor|type I interferon receptor beta chain-associated protein
05:115200000:130400000:tsg219,5,115200000,130400000,5q23,2878,GPX3,GPx-P|GSHPx-3|GSHPx-P,HGNC:4555|MIM:138321|Ensembl:ENSG00000211445|HPRD:11750|Vega:OTTHUMG00000163693,glutathione peroxidase 3 (plasma),protein-coding,GPx-3|extracellular glutathione peroxidase|glutathione peroxidase 3|plasma glutathione peroxidase
X:116800000:120700000:tsg220,X,116800000,120700000,Xq24,28985,MCTS1,MCT-1|MCT1,HGNC:23357|MIM:300587|Ensembl:ENSG00000232119|HPRD:06634|Vega:OTTHUMG00000022303,malignant T cell amplified sequence 1,protein-coding,malignant T cell-amplified sequence 1|multiple copies T-cell malignancies
07:126900000:142800000:tsg221,7,126900000,142800000,7q32-q34,28996,HIPK2,PRO0593,HGNC:14402|MIM:606868|Ensembl:ENSG00000064393|HPRD:06039|Vega:OTTHUMG00000157704,homeodomain interacting protein kinase 2,protein-coding,hHIPk2|homeodomain-interacting protein kinase 2
19:047800000:057600000:tsg222,19,47800000,57600000,19q13.3,2909,ARHGAP35,GRF-1|GRLF1|P190-A|P190A|p190ARhoGAP|p190RhoGAP,HGNC:4591|MIM:605277|Ensembl:ENSG00000160007|HPRD:05592,Rho GTPase activating protein 35,protein-coding,glucocorticoid receptor DNA binding factor 1|glucocorticoid receptor DNA-binding factor 1|glucocorticoid receptor repression factor 1|rho GAP p190A|rho GTPase-activating protein 35
16:027600000:034400000:tsg223,16,27600000,34400000,16p11.2,29108,PYCARD,ASC|CARD5|TMS|TMS-1|TMS1,HGNC:16608|MIM:606838|Ensembl:ENSG00000103490|HPRD:06020|Vega:OTTHUMG00000132405,PYD and CARD domain containing,protein-coding,apoptosis-associated speck-like protein containing a CARD|caspase recruitment domain-containing protein 5|target of methylation-induced silencing 1
16:045500000:054500000:tsg224,16,45500000,54500000,16q12,29117,BRD7,BP75|CELTIX1|NAG4,HGNC:14310|Ensembl:ENSG00000166164|Vega:OTTHUMG00000133170,bromodomain containing 7,protein-coding,75 kDa bromodomain protein|bromodomain-containing protein 7|protein CELTIX-1
